,0.8,0.2,0.5
2015-01-01 02:00:00,33.5745735168,29.195810318,31.2098789215
2015-01-01 04:00:00,32.1430358887,28.162317276,29.8881206512
2015-01-01 06:00:00,35.2140350342,29.5299396515,32.0912628174
2015-01-01 08:00:00,34.7655639648,29.5882263184,32.0218544006
2015-01-01 10:00:00,49.0482025146,42.0264434814,45.0863494873
2015-01-01 12:00:00,43.6971435547,35.9081764221,40.0802154541
2015-01-01 14:00:00,41.9893989563,36.1007614136,38.4659309387
2015-01-01 16:00:00,48.9829978943,40.8882064819,44.5792884827
2015-01-01 18:00:00,77.754776001,67.1651687622,73.1250534058
2015-01-01 20:00:00,80.8281784058,70.3263015747,75.4700164795
2015-01-01 22:00:00,65.5599441528,57.8360099792,60.9072036743
2015-01-02 00:00:00,41.9295845032,36.4652938843,39.8426475525
2015-01-02 02:00:00,36.8389854431,31.2540645599,33.8446731567
2015-01-02 04:00:00,35.0763244629,30.0913085938,32.1394920349
2015-01-02 06:00:00,36.6771469116,31.7077846527,33.8797607422
2015-01-02 08:00:00,38.6050758362,32.9966850281,35.3979873657
2015-01-02 10:00:00,50.4615402222,42.213508606,45.8371086121
2015-01-02 12:00:00,45.7425422668,37.6080627441,41.6590919495
2015-01-02 14:00:00,45.1634902954,39.0564460754,42.0671348572
2015-01-02 16:00:00,52.2427024841,43.108707428,46.8122558594
2015-01-02 18:00:00,78.8668441772,66.4445037842,71.6262359619
2015-01-02 20:00:00,79.479019165,69.2698745728,74.442199707
2015-01-02 22:00:00,63.9593849182,56.1283798218,60.2799263
2015-01-03 00:00:00,41.5888366699,35.8853492737,38.7274856567
2015-01-03 02:00:00,35.6002311707,31.0139598846,33.1443901062
2015-01-03 04:00:00,33.5419845581,29.1018314362,31.5791187286
2015-01-03 06:00:00,32.6702346802,28.0639286041,30.7415275574
2015-01-03 08:00:00,34.4640579224,28.5666217804,31.4861278534
2015-01-03 10:00:00,46.6858940125,39.938873291,43.0295295715
2015-01-03 12:00:00,43.9770698547,37.7133827209,41.2662773132
2015-01-03 14:00:00,43.7565155029,36.6336669922,40.4715881348
2015-01-03 16:00:00,50.1466217041,41.8405380249,45.5964622498
2015-01-03 18:00:00,76.6809387207,64.8476638794,69.7092132568
2015-01-03 20:00:00,75.3897247314,66.1651306152,70.8237380981
2015-01-03 22:00:00,61.6615219116,54.859249115,58.5779647827
2015-01-04 00:00:00,38.6749687195,33.2648086548,35.9622688293
